# Bird_H / EagleBluffs_03082022_Trees_Spot3_90meters_DJI_0144
# image   : /home/zygfd/waterflow/rebuild/dataset_full/Bird_H/EagleBluffs_03082022_Trees_Spot3_90meters_DJI_0144.jpg  (5472x3648)
# labels  : /home/zygfd/waterflow/rebuild/dataset_full/Bird_H/EagleBluffs_03082022_Trees_Spot3_90meters_DJI_0144.txt
# boxes   : 126   species labels: 126
#
#   idx      x1     y1     x2     y2     w    h  species
      0    2559   1611   2587   1642    28   31  Unknown
      1    2641   1885   2669   1910    28   25  Unknown
      2    2248   2141   2271   2171    23   30  Shoveler Male
      3    2705   2093   2726   2121    21   28  Mallard Male
      4    3503   2664   3524   2692    21   28  Unknown
      5    3397   1039   3426   1059    29   20  Unknown
      6    3408   1535   3433   1558    25   23  Gadwall
      7    2748   1751   2772   1774    24   23  Unknown
      8    2549   2325   2574   2346    25   21  Shoveler Male
      9    3113   2586   3136   2608    23   22  Unknown
     10    2932   1863   2954   1886    22   23  Unknown
     11    2215   1530   2234   1556    19   26  Unknown
     12    2729   2380   2748   2406    19   26  Mallard Male
     13    2650   1965   2677   1983    27   18  Unknown
     14    3312   1658   3330   1685    18   27  Unknown
     15    2284   1546   2307   1567    23   21  Unknown
     16    2854   2162   2878   2182    24   20  Mallard Female
     17    3316   2543   3344   2560    28   17  Unknown
     18    2675   1477   2697   1498    22   21  Unknown
     19    2934   1921   2961   1938    27   17  Mallard Male
     20    3578   1658   3595   1685    17   27  Gadwall
     21    2434   1360   2452   1385    18   25  Unknown
     22    3169   2802   3190   2823    21   21  Unknown
     23    3273   2460   3297   2478    24   18  Mallard Male
     24    2787   1595   2804   1620    17   25  Mallard Male
     25    2501   2141   2526   2158    25   17  American Widgeon Male
     26    3336   1043   3362   1059    26   16  Unknown
     27    2848   1184   2871   1202    23   18  Unknown
     28    2432   1681   2451   1702    19   21  Unknown
     29    2507   1620   2528   1639    21   19  Unknown
     30    2461   1889   2482   1908    21   19  Unknown
     31    2947   2433   2966   2454    19   21  Unknown
     32    2651   2011   2673   2029    22   18  Shoveler Male
     33    2603   1999   2618   2025    15   26  Pintail Male
     34    2599   1475   2616   1498    17   23  Mallard Male
     35    3035   2352   3050   2378    15   26  Unknown
     36    3152   2265   3168   2289    16   24  Pintail Male
     37    3258   2100   3274   2124    16   24  Unknown
     38    2805   1959   2824   1979    19   20  Unknown
     39    3026   1507   3047   1525    21   18  Unknown
     40    2241   1742   2260   1761    19   19  Pintail Male
     41    2732   2323   2752   2341    20   18  Unknown
     42    3310   3140   3330   3158    20   18  Shoveler Male
     43    2626   2095   2645   2113    19   18  Unknown
     44    2647   1476   2660   1502    13   26  Mallard Male
     45    2578   2007   2598   2024    20   17  Mallard Male
     46    2366   1492   2387   1508    21   16  Green-winged teal
     47    3101   1070   3122   1086    21   16  Unknown
     48    2581   1905   2597   1926    16   21  Unknown
     49    2824   1828   2845   1844    21   16  Pintail Male
     50    2437   1557   2459   1572    22   15  Unknown
     51    2585   1153   2600   1175    15   22  Unknown
     52    2918   1815   2943   1828    25   13  Shoveler Male
     53    2486   1354   2499   1379    13   25  Mallard Female
     54    2783   1897   2808   1910    25   13  Unknown
     55    3115   1169   3133   1187    18   18  Unknown
     56    2862   1594   2881   1611    19   17  Mallard Male
     57    2454   1607   2471   1626    17   19  Unknown
     58    3095   2859   3111   2879    16   20  Unknown
     59    2603   1505   2619   1525    16   20  Unknown
     60    3007   1869   3023   1889    16   20  Unknown
     61    2958   2347   2979   2362    21   15  Unknown
     62    2705   1907   2720   1928    15   21  Unknown
     63    2722   1426   2735   1450    13   24  American Widgeon Female
     64    2550   1820   2578   1831    28   11  American Widgeon Male
     65    2441   2352   2458   2370    17   18  Shoveler Male
     66    2846   1771   2865   1787    19   16  Unknown
     67    2371   1956   2390   1972    19   16  Green-winged teal
