epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,639.302,2.23583,1.96051,0.00835,0.78574,0.67442,0.70716,0.29884,1.6883,2.59118,0.00717,0.000166649,0.000166649,0.0668368
2,1242.54,2.11857,1.64712,0.00773,0.8342,0.72303,0.7716,0.33025,1.6281,2.09423,0.00681,0.000330016,0.000330016,0.0336669
3,1835.6,2.05371,1.57761,0.00748,0.84876,0.73697,0.78702,0.35042,1.59636,1.5907,0.00656,0.000490083,0.000490083,0.000493607
4,2426.61,2.0171,1.50003,0.00732,0.85674,0.75506,0.80657,0.36894,1.57076,1.56777,0.00644,0.00048515,0.00048515,0.00048515
5,3047.07,1.99582,1.43583,0.00723,0.86417,0.76407,0.81606,0.38135,1.54849,1.52359,0.00628,0.0004802,0.0004802,0.0004802
6,3646.67,1.97364,1.39747,0.00702,0.87003,0.77048,0.82085,0.38646,1.54086,1.51207,0.00622,0.00047525,0.00047525,0.00047525
7,4323.51,1.9548,1.37782,0.00696,0.87119,0.7738,0.82521,0.39033,1.53198,1.48297,0.00617,0.0004703,0.0004703,0.0004703
8,5103.5,1.94752,1.33526,0.00694,0.87396,0.77769,0.82857,0.39428,1.53074,1.46091,0.00616,0.00046535,0.00046535,0.00046535
9,5691.45,1.94568,1.32356,0.00689,0.87225,0.78289,0.83191,0.39723,1.52816,1.43702,0.00613,0.0004604,0.0004604,0.0004604
10,6280.32,1.93946,1.30146,0.00691,0.87388,0.78433,0.83501,0.40087,1.52617,1.41865,0.00612,0.00045545,0.00045545,0.00045545
11,6868.56,1.92656,1.28402,0.00679,0.87593,0.78517,0.83651,0.40337,1.52347,1.40413,0.00611,0.0004505,0.0004505,0.0004505
12,7456.93,1.91351,1.27926,0.00678,0.87707,0.78448,0.83719,0.40492,1.51916,1.38801,0.00608,0.00044555,0.00044555,0.00044555
13,8045.05,1.90101,1.25954,0.00669,0.87844,0.78433,0.83793,0.40609,1.51729,1.36836,0.00607,0.0004406,0.0004406,0.0004406
14,8633.09,1.89785,1.24305,0.00665,0.87797,0.78501,0.83829,0.40799,1.51646,1.35528,0.00605,0.00043565,0.00043565,0.00043565
15,9220.86,1.89796,1.23626,0.00667,0.87856,0.7849,0.83888,0.40898,1.51534,1.34127,0.00605,0.0004307,0.0004307,0.0004307
16,9808.81,1.90085,1.22905,0.00667,0.87871,0.78493,0.83778,0.40925,1.51455,1.32087,0.00604,0.00042575,0.00042575,0.00042575
17,10397,1.89109,1.20838,0.00663,0.87917,0.78457,0.83794,0.4098,1.51433,1.3076,0.00604,0.0004208,0.0004208,0.0004208
18,10984.7,1.88672,1.21205,0.00658,0.87993,0.78345,0.83823,0.41027,1.51413,1.29253,0.00604,0.00041585,0.00041585,0.00041585
19,11573.1,1.87977,1.20615,0.00655,0.88072,0.78323,0.83847,0.41105,1.51451,1.27561,0.00605,0.0004109,0.0004109,0.0004109
20,12161,1.87341,1.18853,0.00657,0.88161,0.78301,0.83921,0.41192,1.51274,1.26574,0.00603,0.00040595,0.00040595,0.00040595
