epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.862,1.97748,1.72842,1.30401,0.7971,0.6488,0.68086,0.27975,1.61346,3.9107,1.10707,0.000166649,0.000166649,0.0668368
2,970.862,1.92834,1.52997,1.29076,0.85121,0.71923,0.7681,0.33924,1.53068,3.59899,1.0789,0.000330016,0.000330016,0.0336669
3,1434.71,1.89524,1.449,1.27831,0.8597,0.73225,0.78366,0.34216,1.4927,3.27137,1.05717,0.000490083,0.000490083,0.000493607
4,1896.81,1.87208,1.38234,1.26978,0.86826,0.75685,0.80967,0.36581,1.48803,3.32612,1.05679,0.00048515,0.00048515,0.00048515
5,2359.42,1.84429,1.32644,1.25896,0.88098,0.77301,0.82101,0.37576,1.47836,3.41887,1.05324,0.0004802,0.0004802,0.0004802
6,2822.6,1.8249,1.287,1.24532,0.88121,0.77901,0.82742,0.38573,1.47278,3.41648,1.05019,0.00047525,0.00047525,0.00047525
7,3285.95,1.81052,1.26171,1.24751,0.88452,0.78359,0.83352,0.39134,1.46373,3.39896,1.05041,0.0004703,0.0004703,0.0004703
8,3749.53,1.79216,1.22687,1.24095,0.88565,0.78821,0.83746,0.39566,1.45867,3.36597,1.05168,0.00046535,0.00046535,0.00046535
9,4212.63,1.79774,1.21957,1.24227,0.88468,0.79076,0.83798,0.39503,1.46163,3.38411,1.05831,0.0004604,0.0004604,0.0004604
10,4675.57,1.78584,1.20067,1.24247,0.88518,0.79087,0.83941,0.39904,1.45824,3.35511,1.0584,0.00045545,0.00045545,0.00045545
11,5139.14,1.77479,1.18714,1.23114,0.8866,0.79193,0.8409,0.40177,1.45519,3.34429,1.05788,0.0004505,0.0004505,0.0004505
12,5603.12,1.76265,1.18059,1.23365,0.88657,0.79307,0.84175,0.40343,1.4536,3.29766,1.05604,0.00044555,0.00044555,0.00044555
13,6066.72,1.75372,1.17381,1.22958,0.88726,0.79332,0.84295,0.40431,1.45275,3.27944,1.05632,0.0004406,0.0004406,0.0004406
14,6531.26,1.7545,1.14102,1.22829,0.8868,0.79485,0.84406,0.40559,1.45364,3.23325,1.05855,0.00043565,0.00043565,0.00043565
15,6995.97,1.74865,1.1423,1.22575,0.8864,0.79653,0.84483,0.40665,1.45356,3.2138,1.05989,0.0004307,0.0004307,0.0004307
16,7461.28,1.74872,1.13766,1.22829,0.88704,0.79748,0.84558,0.40689,1.45379,3.24203,1.06115,0.00042575,0.00042575,0.00042575
17,7926.35,1.74075,1.121,1.22711,0.88753,0.79731,0.84635,0.40702,1.4528,3.1979,1.06158,0.0004208,0.0004208,0.0004208
18,8391.89,1.73607,1.11875,1.22279,0.8879,0.79719,0.84698,0.40764,1.45224,3.14788,1.06189,0.00041585,0.00041585,0.00041585
19,8857.23,1.73161,1.10629,1.21972,0.88731,0.79804,0.84755,0.40804,1.45154,3.11149,1.06262,0.0004109,0.0004109,0.0004109
20,9323.26,1.72426,1.10075,1.21901,0.88725,0.79892,0.84825,0.40875,1.45088,3.08641,1.0638,0.00040595,0.00040595,0.00040595
21,9788.98,1.72807,1.10209,1.21856,0.88772,0.79951,0.84912,0.40983,1.44978,3.05314,1.06435,0.000401,0.000401,0.000401
22,10255,1.72205,1.09043,1.22041,0.88682,0.80102,0.84974,0.4101,1.44991,3.02701,1.06539,0.00039605,0.00039605,0.00039605
23,10721.6,1.7221,1.0858,1.21568,0.88755,0.80167,0.85045,0.41136,1.45007,2.97913,1.06611,0.0003911,0.0003911,0.0003911
24,11188.3,1.71841,1.07623,1.21851,0.88809,0.80219,0.85124,0.41147,1.45026,2.94958,1.06705,0.00038615,0.00038615,0.00038615
25,11655.4,1.71353,1.07774,1.2184,0.88911,0.80287,0.85173,0.41202,1.44985,2.91633,1.06779,0.0003812,0.0003812,0.0003812
26,12122.4,1.70539,1.07592,1.21318,0.88875,0.80463,0.85276,0.41277,1.44862,2.87476,1.06776,0.00037625,0.00037625,0.00037625
27,12590,1.702,1.05715,1.20838,0.88995,0.8053,0.85363,0.41439,1.44797,2.82518,1.06786,0.0003713,0.0003713,0.0003713
28,13057.3,1.70559,1.04824,1.20787,0.89036,0.80685,0.8546,0.41535,1.44707,2.77441,1.06791,0.00036635,0.00036635,0.00036635
29,13524.9,1.70241,1.0515,1.20692,0.89133,0.80854,0.85584,0.41651,1.44611,2.72564,1.06826,0.0003614,0.0003614,0.0003614
30,13992.5,1.69314,1.04287,1.20711,0.89215,0.80944,0.85667,0.41761,1.44529,2.69847,1.06766,0.00035645,0.00035645,0.00035645
31,14460.2,1.68558,1.03932,1.20192,0.8931,0.81051,0.85766,0.41806,1.44363,2.67116,1.06697,0.0003515,0.0003515,0.0003515
32,14928.1,1.68504,1.03916,1.2031,0.89436,0.81092,0.85821,0.41874,1.44231,2.64983,1.06657,0.00034655,0.00034655,0.00034655
33,15396,1.68895,1.02728,1.20731,0.895,0.81273,0.85909,0.41958,1.44143,2.62747,1.06665,0.0003416,0.0003416,0.0003416
34,15864.3,1.68424,1.02348,1.203,0.89622,0.81379,0.86019,0.42066,1.43994,2.62619,1.0662,0.00033665,0.00033665,0.00033665
35,16332.3,1.68595,1.02126,1.19915,0.89734,0.81475,0.86095,0.42158,1.43844,2.61162,1.06564,0.0003317,0.0003317,0.0003317
36,16801,1.68043,1.01374,1.20294,0.89692,0.81601,0.86144,0.42235,1.43754,2.59269,1.06518,0.00032675,0.00032675,0.00032675
37,17269.9,1.67579,1.01026,1.20431,0.89784,0.81656,0.86385,0.42339,1.4364,2.56103,1.06444,0.0003218,0.0003218,0.0003218
38,17738.5,1.67498,1.0147,1.2016,0.89856,0.81749,0.8646,0.42388,1.43587,2.53093,1.06443,0.00031685,0.00031685,0.00031685
39,18207.5,1.66943,1.01138,1.19869,0.90009,0.81792,0.86502,0.42396,1.43397,2.49025,1.06385,0.0003119,0.0003119,0.0003119
40,18677,1.67309,1.01123,1.19973,0.90112,0.81828,0.8656,0.42486,1.43417,2.46208,1.06369,0.00030695,0.00030695,0.00030695
41,19145.8,1.66832,0.99951,1.2001,0.90041,0.81931,0.86607,0.42571,1.43272,2.43643,1.06385,0.000302,0.000302,0.000302
42,19616.5,1.6642,1.00236,1.20163,0.9014,0.81948,0.86682,0.42621,1.43157,2.40877,1.06371,0.00029705,0.00029705,0.00029705
43,20092.4,1.65622,0.99537,1.19375,0.90173,0.82057,0.86733,0.42657,1.43187,2.38208,1.06387,0.0002921,0.0002921,0.0002921
44,20569,1.65625,0.98459,1.19215,0.90248,0.8209,0.86764,0.42712,1.43173,2.35362,1.06388,0.00028715,0.00028715,0.00028715
45,21045.6,1.66011,0.98874,1.19874,0.90248,0.82189,0.86805,0.42766,1.43144,2.33331,1.06421,0.0002822,0.0002822,0.0002822
46,21522.4,1.65649,0.98972,1.19458,0.90268,0.82272,0.86854,0.42838,1.43122,2.31658,1.06421,0.00027725,0.00027725,0.00027725
47,21999.2,1.65547,0.97262,1.19376,0.90281,0.82351,0.86888,0.42891,1.43069,2.29832,1.0643,0.0002723,0.0002723,0.0002723
48,22475.6,1.65398,0.98037,1.19117,0.90291,0.82433,0.86925,0.42952,1.43036,2.28783,1.06429,0.00026735,0.00026735,0.00026735
